ValveType;Pressure;Vessel;Time;Rate;Bemerkungen;ModifiedBy
PLUG30U;_;0;0;0,092;Prüfkraft 3500N;stu
PLUG40U;_;0;0;0,122;Prüfkraft 3500N;stu
PLUG35U;_;0;0;0,103;Prüfkraft 3500N;stu
106P06A1;_;0;0;0,911;;stu
164CKDK; 4/2;10;0,28;4,168;486383: PF 164CJD/575685;stu
145CJDK; 4/2;10;0,37;3,208;;stu
45CEDK; 4/2;1;0,44;0,266;;stu
61CFDK; 4/2;5;0,2;0,605;;stu
79EDO; 4/3;5;0,34;0,737;;stu
88EDO; 4/2;5;0,72;0,823;;stu
213H; 4/2;10;0,27;4,388;;stu
102CFTO;_;0;0;1,121;;stu
194CKOK; 4/2;10;0,22;5,441;;stu
154CJOK; 4/2;10;0,35;3,432;;stu
154FO; 4/2;5;0,28;2,089;;stu
55CDP;_;0;0;0,219;;stu
130CEP;_;0;0;0;483517+483522 keine DP!;stu
154HO; 4/2;10;0,36;3,276;;
157CGOK; 4/2;5;0,26;2,308;;
254CHOK;_;0;0;5,46;;
214CLOK; 4/1;10;0,32;6,713;;
42CRK; 4/2;1;0,35;0,341;;
176CDE;_;0;0;1,009;484149: PF 484060;
147CHTO; 4/2;10;0,47;2,497;;
7A;_;0;0;0,015;144287: PF / 494728: PF+ 446799 (9A);
DIA13,4/1;_;0;0;0,035;;
179CJTO; 4/2;10;0,31;3,872;;
362FHO; 4/2;10;0,26;4,567;;
9A;_;0;0;0,021;416341: PF 416338;
9A;_;0;0;0,021;446799: PF;
19CU; 4/3;1;1,02;0,049;SV496128+496136+499747+WA0901: PF 478631 / 495819: PF+478631;
23CU; 4/3;1;0,78;0,064;494858+495569+495572+447889: PF;
197CGE;_;0;0;3,37;;
DIA89/1;_;0;0;0,461;DV 483579: PF 483541;
DIA89/1;_;0;0;0,461;DV 139730: PF 483541;
92FDO; 4/2;5;0,47;1,258;;
274FHO; 4/2;10;0,34;3,51;;
9A;_;0;0;0,021;455966: PF;
9A;_;0;0;0,021;455969: PF;
165ER2;_;0;0;1,769;408843: PF;
4A;_;0;0;0,012;;
17/1;_;0;0;0,08;;
DIA11,5/1;_;0;0;0,031;;
DIA18;_;0;0;0,041;SV 136841: PF 112615;
DIA343/7;_;0;0;9,745;;
165CEE;_;0;0;1,682;SV 590473: Vorrichtung!;
170CDX;_;0;0;0,926;489153: PF 165CEE/479080;
88CRX; 4/3;5;0,21;1,184;;
62CFYK;_;0;0;0,756;;
230CFX;_;0;0;2,969;;
154CFE;_;0;0;2,034;;
DIA126/3;_;0;0;1,288;;
254MO; 4/1;10;0,24;9,209;;
157CED;_;0;0;2,535;Doppeldeck;
214CFD;_;0;0;6,874;Doppeldeck;
132FO; 4/2;5;0,34;1,717;;
DIA69,5/2;_;0;0;0,525;DV 492285: PF;
6,5/1;_;0;0;0,016;;
98RO; 4/2;5;0,45;1,322;492557: PF 98R1 617296 / HKS 02.4300;
DIA83;_;0;0;0,362;411170: PF 084598;
145CFDK;_;0;0;1,894;599677: PF 145CFDK 572250;
164CFDK;_;0;0;2,535;;
186CEE;_;0;0;1,939;;
23U; 4/3;1;0,78;0,064;470205: PF / 147885: PF 470205;
23U; 4/3;1;0,78;0,064;051546: PF / SV 470965: PF SV 470205;
165CEE;_;0;0;1,682;590714: PF 590473;
165CEE;_;0;0;1,682;591955: PF 590473;
165CEE;_;0;0;1,682;597300: PF 590473;
DIA334/3;_;0;0;4,473;;
145CFOK;_;0;0;1,894;;
80CE; 4/3;5;0,35;0,705;;
62CFK; 4/3;5;0,32;0,78;466564: PF;
197GO; 4/2;10;0,34;3,447;;
16A;_;0;0;0,037;DV 494374: PF / DV368971+SV494370: PF 494374;
79CEK; 4/3;5;0,34;0,738;;
176CEE;_;0;0;1,82;489146: PF 484149, 484060;
119CGDK; 4/2;5;0,29;2,048;577498+580169+599214+599351: PF 119CEDK 587987;
119CGDK; 4/2;5;0,29;2,048;WA0265: PF 119CEDK 587987;
150CDX;_;0;0;0,94;495463: PF;
23CU; 4/3;1;0,78;0,064;494441+494442+499481+499492: PF;
19CU; 4/3;1;1,02;0,049;DV496133+DV496150: PF DV 495819+478631;
35CU; 4/3;1;0,31;0,163;496126+496127: PF / 497059: PF 497050;
29CU; 4/3;1;0,63;0,08;496140+496141+498948+498950: PF;
35CU; 4/3;1;0,31;0,163;495920+495921+495596+497050: PF;
9A;_;0;0;0,021;496142: PF + 446799;
19CU; 4/3;1;1,02;0,049;496457: PF (AUCH FÜR 496475, 496479, 496481);
35U; 4/3;1;0,3;0,165;130474: PF + 494439;
DIA54/1;_;0;0;0,244;493670: PF;
19CU; 4/3;1;1,02;0,049;SV496718: PF478631 / DV496718: PF DV495819+478631;
24R1;_;0;0;0,068;52182;
208CFE;_;0;0;3,029;;
165CEE;_;0;0;1,682;599676: PF 484060+590473;
38CDK; 4/3;1;0,27;0,183;;
19CU; 4/3;1;1,02;0,049;497665 SV : PF478631 / DV: 478631+ DV485819;
18C6; 4/3;1;1;0,049;;
35CU; 4/3;1;0,31;0,163;498016: PF / 498017: PF + 495921 / WA2211: PF 495921;
19CU; 4/3;1;1,02;0,049;SV498267+498269: PF DV478631 / DV498267+498269: PF 495819+ 478631;
35U; 4/3;1;0,3;0,165;497907: Universal-PF, PU-Dichtung DIA52/42;
41CU; 4/3;1;0,27;0,183;498468+499003+499005+WA1595: PF 497515;
35CU; 4/3;1;0,31;0,163;SV 470159: PF 494440 / DV 470159: PF + 494440;
23CU; 4/3;1;0,78;0,064;499535: PF+ SV499481 / 499540: PF 499492;
41U; 4/3;1;0,27;0,184;124336: PF+ 41CU 598464;
48CU; 4/3;1;0,23;0,215;591112+WA0255+WA0256+WA0850+WA0851: PF 498204;
DIA10/1;_;0;0;0,024;492232: PF 410700 / 492241: PF 410703;
19CU; 4/3;1;1,02;0,049;DV498748+498750: PF DV495819+SV 478631;
35CU; 4/3;1;0,31;0,163;498746: PF 495596 / 498744: PF + 494439;
41CU; 4/3;1;0,27;0,183;498761+WA0450: PF 48CU 496370;
PLUG65U+186CEE;_;0;0;0;598394: PF 590537;
19CU; 4/3;1;1,02;0,049;SV499445: PF 478631 / DV499445: PF 478631+DV495819;
35CU; 4/3;1;0,31;0,163;DV499057+499444: PF 495596 / SV499057: PF 494439+498744;
19CU; 4/3;1;1,02;0,049;SV499498+SV499530: PF 478631 / 499513: PF+499508;
19CU; 4/3;1;1,02;0,049;DV499498+DV499530+499749+WA0907: PF 495819+478631;
35CU; 4/3;1;0,31;0,163;499137+499138: PF + PU-Dichtung / WA2210: PF 495920;
41CU; 4/3;1;0,27;0,183;DV448003: PF+SV448003;
29CU; 4/3;1;0,63;0,08;499706: PF498948 / 499708: PF 498950;
13A;_;0;0;0,035;499712: PF DIA10/1 410700 / 499713: PF DIA10/1 410703;
19U; 4/3;1;1;0,049;WA1227: PF+496457;
190CJTO; 4/2;10;0,28;4,276;;
158CHTO; 4/2;10;0,41;2,915;;
120CFM;_;0;0;1,59;;
134CFOK;_;0;0;1,706;;
109CFK;_;0;0;1,438;;
41U; 4/3;1;0,27;1,84;407386: DV 41CU 448003+41CU 495919;
229CHE;_;0;0;4,698;;
DIA17;_;0;0;0,08;WA2527: PF / WA3006: PF+WA2527;
19U; 4/3;1;1;0,049;493435+SV WA3226: PF WA1173+19CU 478631;
19U; 4/3;1;1;0,049;493441+DV WA3226: PF WA1178+19CU 478631;
29U; 4/3;1;0,63;0,08;493412+493438: PF WA1208;
197CEE;_;0;0;2,076;;
100CFDK; 4/2;5;0,44;1,36;;
192CJM;_;0;0;4,51;;
178CJM;_;0;0;4;;
168CHM;_;0;0;3,39;;
154CHM;_;0;0;2,96;;
144CGM;_;0;0;2,42;;
130CGM;_;0;0;2,08;;
110CFM;_;0;0;1,41;;
106CFM;_;0;0;1,34;;
96CFM;_;0;0;1,15;;
212CP;_;0;0;7,15;;
202CP;_;0;0;6,33;;
193CP;_;0;0;5,89;;
184CP;_;0;0;5,45;;
174CP;_;0;0;4,75;;
165CP;_;0;0;4,36;;
155CP;_;0;0;3,72;;
145CP;_;0;0;3,35;;
136CP;_;0;0;2,81;;
117CP;_;0;0;2,02;;
108CP;_;0;0;1,79;;
98CP;_;0;0;1,55;;
79CP;_;0;0;0,99;;
DIA25,5/1;_;0;0;0,121;;
133CEE;_;0;0;1,292;WA3505: 134CFDK 585482 / WA3553: 145CHDK 580693;
