zeichnung;ventiltype;innenrate;aussenrate;beipruefdruck;innenzeit;aussenzeit;bemerkungen;modifiedBy
442398;17C/34C;_;_;100/70;1,84;0,86;_;
442692;50CI/24C;0,065;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
442784;35CU/68C;_;_;30/20;0,6;0,5;_;
443318;DIA125/1-DIA89/1;0,442;-0,303;5;_;_;DIA125/1-DIA89/1 443318 + 483541;
443637;50CI/24C;0,065;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
443689;30ROK/54CK;_;_;40/30;0,66;0,39;_;
443906;105R1/154CE;1,785;1,678;5;_;_;_;
443941;52ROK/85CD;0,449;0,463;5;_;_;52 ROK/85 CD 577795;
444030;68CDK/52CEK;0,379;0,37;5;_;_;Innen Prüfung mög.;
444035;136CDK/87CFK;0,946;0,755;5;_;_;lt Hr. Zins nur Innenseite prüfen;
444046;82C/70ED;0,624;0,497;5;_;_;82 C/70 ED 424570;
444047;69EO/119CD;0,52;0,357;5;_;_;70 ED/120 CD 431697;
444097;30ROK/54C;_;_;40/30;0,66;0,39;30ROK/54C:443689/30ROK/54CDK:446324;
444098;42ROK/77CD;0,341;0,419;5;_;_;42 R2/77 CD 421166;
444331;82C/70ED;0,626;0,494;5;_;_;82 C/70 ED 424570;
444334;50C/48CDD;0,136;0,268;5;_;_;50 C/48 CDD 421341;
444422;70ED/120CD;0,626;0,972;5;_;_;70 ED/120 CD 431697;
444509;82CI/48CDD;0,138;0,212;5;_;_;82C/70ED 424570;
444538;82C/70ED;0,617;0,487;5;_;_;82 C/70 ED 424570;
444569;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
445013;37ROK/68C;0,179;0,37;5;_;_;_;
445087;70ED/120CD;0,626;0,672;5;_;_;70 ED/120 CD 431697;
445273;35CU/62C;_;_;30/20;0,57;0,52;_;
445397;42RK/68CD;0,341;0,37;5;_;_;42 R2/68 CD 540576;
446323;42ROK/77CDK;0,341;0,414;5;_;_;_;
446324;30ROK/54CDK;_;_;60/30;1,22;1;_;
446428;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
446639;50C/48CDD;0,136;0,268;5;_;_;50 C/48 CDD 421341;
446640;82C/70ED;0,617;0,487;5;_;_;82 C/70 ED 424570;
446641;50C/48CDD;0,136;0,268;5;_;_;50 C/48 CDD 421341;
446665;174CROK/274CF;4,3;3,796;5;_;_;_;
446666;98CROK/145CE;1,328;1,573;5;_;_;_;
446667;60ROK/94CD;0,647;0,515;5;_;_;60ROK/94CD 584385;
446668;37ROK/62C;_;_;50/30;0,7;0,65;_;
