zeichnung;ventiltype;innenrate;aussenrate;beipruefdruck;innenzeit;aussenzeit;bemerkungen;modifiedBy
572183;70ED/120CD;0,626;0,666;5;_;_;70ED/120CD 587980;stu
572300;117R1/190CE;1,999;2,029;5;_;_;Behelfsmäßige Prüfung möglich;
572301;79R2/106CD;1,031;0,606;5;_;_;79 R2/106 CD 405165;
573403;88R4/140CE;1,462;1,158;5;_;_;88 R4/140 CE 516970;
573594;98RX/145E;1,322;1,574;5;_;_;98 RX/145 E 544678;
573715;37ROK/62C;_;_;50/30;0,68;0,65;37 DD/62 C 429623;
573715;37ROK/62CDK;0,185;0,187;5;_;_;_;
573772;52RLX/92CD;0,353;0,501;5;_;_;_;
573966;42R2/68CD;0,341;0,374;5;_;_;42 R2/68 CD 422721;
573967;DIA54/3–93CD;0,573;0,5;5;_;_;DIA 54/3 – 93 CD 416910;
574885;DIA226/2-B154;3,18;2,47;5;_;_;DIA226/2-B154 V4317;
574886;DIA174/2-A123S;2,15;1,82;5;_;_;DIA 174/2 - A 123 S V 4606;
575772;80FY/128E;1,084;1,06;5;_;_;_;
575806;52RLX/92CD;0,353;0,501;5;_;_;_;
575938;60R2/86CD;0,641;0,487;5;_;_;_;
575973;60R2/86CD;0,641;0,487;5;_;_;_;
576739;105RO/159SRD;1,785;0,488;5;_;_;105RO/159SRD 553551 (Zus. 553551);
577302;70ED/120CD;0,626;0,663;5;_;_;70ED/120CD 587980;stu
577307;88R4/146CE;1,294;1,523;5;_;_;_;
577795;52ROK/85CD;0,446;0,463;5;_;_;_;
581194;70ED/120CD;0,626;0,755;5;_;_;70ED/120CD 587980;stu
581195;70ED/120CD;0,626;0,755;5;_;_;70ED/120CD 587980;stu
581196;70ED/120CD;0,626;0,755;5;_;_;70ED/120CD 587980;stu
581396;70ED/120CD;0,626;0,663;5;_;_;70ED/120CD 587980;stu
584385;60ROK/94CD;0,647;0,515;5;_;_;_;
586291;DIA162/105R1;1,789;1,736;5;_;_;HKS 02.2470 02.3789;
586292;DIA162/105R1;1,789;1,736;5;_;_;HKS 02.2470 02.3789;
587477;70ED/120CD;0,626;0,663;5;_;_;70ED/120CD 587980;
587622;45CEK/77CD;0,268;0,419;5;_;_;_;
587684;38DO/62C;0,183;0,183;5;_;_;_;
587980;70ED/120CD;0,626;0,666;5;_;_;_;
589036;45CEK/77CD;0,268;0,419;5;_;_;45CEK/77CD 587622;
589066;30ROK/54CDK;0,129;0,165;5;_;_;_;
589067;24ROK/54CDK;0,107;0,133;5;_;_;_;
589168;79ROK/106CDK;0,975;0,605;5;_;_;_;
589169;52ROK/86CDK;0,45;0,488;5;_;_;_;
589170;30ROK/54CDK;0,129;0,165;5;_;_;30 ROK/54 CDK 589066;
606118;42R2/78CD;0,292;0,357;5;_;_;_;
608306;174R1/268F;4,3;4,295;5;_;_;_;
608312;154R1/227CE;3,27;2,47;5;_;_;_;
610753;DIA162/2-98R1;1,323;1,736;5;_;_;DIA162/2-98R1 610753 + (DV) 98R1 114352;
612449;DIA162/98R1;1,323;1,736;5;_;_;DIA162/2-98R1 610753 + (DV) 98R1 114352;
612452;DIA162/98R1;1,323;1,736;5;_;_;DIA162/2-98R1 610753 + (DV) 98R1 114352;
612687;DIA162/105R1;1,789;1,736;5;_;_;HKS 02.2470 02.3789;
613804;DIA162/98R1;1,323;1,736;5;_;_;HKS 02.3281;
614212;DIA162/105R1;1,789;1,736;5;_;_;DIA162/2-98R1 610753 + DIA162/2 123480;
811078;79R2/120CCE;0,975;0,957;5;_;_;_;
811253;88R4/140CE;_;_;5;_;_;(HCA);
811302;174R/274CF;4,3;3,79;5;_;_;174 RX/274 F 544040 (HCA);
811303;98R1/165CE;1,325;1,733;5;_;_;98 R1/165 CE 540912 (HCA);
811374;60R2/94CD;0,646;0,52;5;_;_;62R2/94CD 811728;
811726;79R2/120CCE;0,975;0,957;5;_;_;_;
811727;79R2/120CCE;0,975;0,957;5;_;_;_;
811728;60R2/94CD;0,646;0,52;5;_;_;_;
811730;88R4/140CE;1,462;1,158;5;_;_;_;
811762;88R4/140CE;1,186;1,163;5;_;_;88 R4/140 CE 811730;
812285;60R2/94CD;0,646;0,52;5;_;_;62R2/94CD 812285;
812342;60R2/94CD;0,646;0,52;5;_;_;62R2/94CD 479702;
812346;52RX/85CD;0,442;0,467;5;_;_;_;
812377;60R2/94CD;0,646;0,52;5;_;_;62R2/94CD 811728;
13325;85CD/47CE3;_;_;5;_;_;Keine Zus gefunden;
21208;48CI/29C;0,078;0,123;5;_;_;_;
23493;71CI/48CD;0,195;0,139;5;_;_;_;
28751;52R2/104CD;0,445;0,585;5;_;_;_;
28957;48CI/29C10;0,078;0,123;5;_;_;Innen. Prüfung mög.;
34426;134R2/200CE;2,383;2,224;5;_;_;_;
34427;88R4/140CE;1,3;1,12;5;_;_;_;
34935;40C/30R;_;_;50/40;1;1;_;
34936;30R/12A;_;_;50/40;1;1;_;
35059;60R2/104CD;0,645;0,585;5;_;_;_;
36639;42R2/78CD;0,341;0,418;5;_;_;_;
36641;30R1/54C;0,13;0,156;5;_;_;_;
36858;47CD/35CD;0,112;0,181;5;_;_;Innen. Prüfung mög.;
37056;DIA122,2/DIA82,5;0,288;0,627;5;_;_;79 R1/133 CD 042342 nur innen lt. TU;
37057;DIA82,5–DIA49;0,19;0,243;5;_;_;42 RX/77 CD 316485;
37470;94CI/52CE10;0,45;0,237;5;_;_;94 CI/48 U 051322;
37637;24CI/15A;0,039;0,036;5;_;_;Kein HD-Prüfung lt. HAT;
38417;296CF/174R;4,296;4,735;5;_;_;_;
38418;207CE/134R1;2,38;2,255;5;_;_;_;
38419;190CE/117R;1,968;2;5;_;_;_;
40412;DIA114/DIA70;0,667;1,22;5;_;_;DIA 114/DIA 70 405723;
41879;79R2/120CD;0,975;0,666;5;_;_;_;
42181;30R/54C1;_;_;100/70;0,71;0,48;30R1/54C1 421269;
42185;42R2/78CD;0,341;0,418;5;_;_;_;
42697;42RL/94C;0,3;0,28;5;_;_;_;
42766;19R/12A;0,027;0,027;5;_;_;Kein Prüfvorr. Prüfung mög.;
45347;79R/130CD;0,975;0,622;5;_;_;_;
45766;79R1/128CE;0,975;1,05;5;_;_;_;
45803;70R1/128CE;0,837;1,17;5;_;_;_;
45964;24R1/54C;_;_;100/70;1,25;0,55;_;
48016;128CI/85CD;0,316;0,44;5;_;_;128 CI/85 CD 083506;
48017;182CE/117R1;1,968;1,998;5;_;_;_;
48910;52R2/94CD;0,445;0,515;5;_;_;_;
49110;52R2/105CD;0,376;0,309;5;_;_;_;
49111;30R/62C;0,082;0,18;5;_;_;_;
49402;42R2/77CD;0,3;0,38;5;_;_;_;
49773;60R2/104CD;0,647;0,578;5;_;_;_;
49774;37R/66C;0,18;0,195;5;_;_;_;
49890;105R1/178CE;1,78;1,9;5;_;_;_;
50344;42R2/70CD;0,341;0,35;5;_;_;_;
50646;134R1/207CE;2,37;2,23;5;_;_;_;
50754;138CD/105CD;0,741;0,528;5;_;_;138 CD/105 CD 050754;
50815;134R2/200CE;2,383;2,224;5;_;_;134 R1/200 CE 034426;
51153;52R2/86CD;0,45;0,47;5;_;_;_;
51322;94CI/48U;_;_;60/40;0,4;0,49;_;
51385;134R1/207CE;2,37;2,23;5;_;_;134 R1/ 207 CE 520005;
51989;52R2/86CD;0,383;0,439;5;_;_;_;
51992;42RL/70CD;0,293;0,208;5;_;_;42 RL/70 CD 313106;
52337;70R2/104CD;0,834;0,578;5;_;_;_;
52351;79R1/128CE;0,975;1,06;5;_;_;_;
52552;174R/274CF;4,3;3,79;5;_;_;_;
52553;154R1/227CE;3,27;2,47;5;_;_;_;
53225;30R1/58CD;_;_;5;_;_;Keine Zus. gefunden;
53909;174R/274CF;4,3;3,79;5;_;_;_;
53940;154R1/227CE;3,27;2,47;5;_;_;_;
54201;205CE/117R;1,991;1,935;5;_;_;_;
54272;199CD-DIA154/1;0,843;1,103;5;_;_;Nur Innenseite prüfen;
54541;105R1/178CE;1,79;1,9;5;_;_;105 R1/178 CE 076439;
55320;149CE/98R1;1,324;1,628;5;_;_;149 CE/98 R1 055321;
55581;42R/82C;0,293;0,205;5;_;_;_;
55924;105R1/165CE;1,785;1,365;5;_;_;105 R1/165 CE 093413;
57099;79R2/128CE;0,975;1,064;5;_;_;_;
57184;30R1/54C;0,13;0,156;5;_;_;30 R1/54 C 088921-A;
57188;52R/85CD;0,45;0,47;5;_;_;_;
58239;94CI/62CD;0,234;0,332;5;_;_;Nur Innenprüfung möglich;
70589;117R1/211E;2;2,27;5;_;_;_;
71939;88CG2/140CE;1,267;1,392;5;_;_;_;
72073;B154/226CE;3,217;2,476;5;_;_;DIA 226/2 - B 154 V 4317;
72344;37R/77C;0,179;0,223;5;_;_;_;
73362;155V/227CE;3,6;2,48;5;_;_;_;
73363;99V/165CE;1,68;1,73;5;_;_;_;
73636;146V/200CE;3,4;1,7;5;_;_;_;
74107;118V/178CE;2,38;1,48;5;_;_;_;
74246;70R2/104CD;0,834;0,578;5;_;_;_;
74800;98R1/165CE;1,325;1,36;5;_;_;_;
74848;98R1/165CE;1,325;1,36;5;_;_;_;
74849;98R1/165CE;1,325;1,36;5;_;_;98 R1/165 CE 078848;
76221;180CE/106CFD;1,18;1,365;5;_;_;Nur Innenseite prüfen;
76439;105R1/178CE;1,79;1,9;5;_;_;_;
78817;88CG2/140CE;1,267;1,392;5;_;_;88 CG2/140 CE 071939;
78818;52R2/86CD;0,45;0,47;5;_;_;52 R2/86 CD 051153;
80782;136CI/70R1;0,838;0,345;5;_;_;136 CI/ 79 R1 083729;
80783;136CI/70R1;0,838;0,345;5;_;_;136 CI/ 79 R1 083729;
82010;138CD/105CD;0,741;0,528;5;_;_;138CD/105CD 050754;
83045;114CI/DIA80;0,361;0,273;5;_;_;121 CI/DIA 83 084598;
83506;128CI/85CD;0,316;0,44;5;_;_;128 CI/85 CD 083506;
83728;136CD/79R1;0,975;0,75;5;_;_;136 CD/79 R1 083729;
83729;136CD/79R1;0,975;0,75;5;_;_;_;
83997;70R2/104CD;0,834;0,585;5;_;_;_;
84598;121CI/DIA83;0,309;0,361;5;_;_;_;
85126;DIA73/DIA42;0,345;0,405;5;_;_;_;
86342;79R2/118CE;0,975;1,258;5;_;_;Innenpr. Möglich;
87209;70RL/104CD;0,731;0,585;5;_;_;70 R2/104 CD 417295;
87214;60RL/94CD;0,595;0,517;5;_;_;60 ROK/94 CD 446667;
87217;88R1/140CE;1,2;1,16;5;_;_;_;stu
87218;42RL/68CD;0,273;0,378;5;_;_;Kein Prüfvorr. Prüfung mög.;
87627;105R1/164CE;1,79;1,68;5;_;_;_;
87733;117R1/164CE;1,999;1,8;5;_;_;117 R1/164 CE 403577;
88078;98R4/145CE;1,44;1,58;5;_;_;_;
88079;79R2/106CD;0,975;0,606;5;_;_;79 RLX/106 CD 403582;
88080;60R2/86CD;0,646;0,488;5;_;_;_;
88107;105R1/178CE;1,8;1,9;5;_;_;_;
88497;105R1/154CE;1,785;1,678;5;_;_;_;
88921;30R/54C;_;_;30/20;1,08;0,58;30R/54C;
89448;DIA55/85CD;0,571;0,466;5;_;_;_;
89486;DIA64/3–104CD;0,686;0,585;5;_;_;_;
90665;39GN2/74ER1G;_;HD;30/20;_;0,12;_ / große Seite Hochdruck;
90665;39GN2/74ER1G;0,276;HD;5;_;_;42ROK/77CD 449587 / Gr. Seite HD;
91022;71CI/48C12;0,137;0,15;5;_;_;71 CI/48 CD 023493;
91505;DIA73/DIA119;1,11;0,87;5;_;_;_;
91533;DIA106/5-DIA166/2;2,24;1,77;5;_;_;_;stu
92879;105R1/154CE;1,785;1,678;5;_;_;105 R1/154 CE 543073;
92898;52R2/78CD;0,445;0,439;5;_;_;_;
93413;105R1/165CE;1,785;1,365;5;_;_;_;
94101;47CE/76CD;0,404;0,39;5;_;_;_;
96652;130CI/80CED;0,707;0,337;5;_;_;Nur Innenprüfung möglich;
96898;DIA34/DIA57;0,099;0,169;5;_;_;DIA 34/DIA 57 545364;
98628;DIA92/1–DIA56/2;0,5;0,51;5;_;_;_;
98850;DIA122/DIA75;0,975;1,295;5;_;_;_;
98907;DIA60/DIA32;0,16;0,32;5;_;_;_;
98954;DIA73/DIA42;0,345;0,405;5;_;_;_;
98996;120CD/70ER;0,835;0,596;5;_;_;_;
99000;39GN2/74ER1G;0,276;HD;5;_;_;Innen: 42ROK/77CD 449587 - aussen: HD;stu
99145;DIA114/DIA70;0,667;1,22;5;_;_;DIA 114/DIA 70 405723;
99653;79R2/128CE;0,975;1,064;5;_;_;_;stu
99661;70R2/106CD;0,838;0,604;5;_;_;70 R2/96 CD 414805;
99663;24CI/15A;0,039;0,036;5;_;_;24CI/15A: 429914 (keine HD-Prüfung/HAT);
V3446;DIA80/1-A57;0,567;0,44;5;_;_;_;
V4317;DIA226/2-B154;3,18;2,47;5;_;_;_;
V4326;DIA174/2-A123S;2,15;1,82;5;_;_;DIA 174/2 - A 123 S V 4606;
V4327;DIA174/2-A123S;2,15;1,82;5;_;_;DIA 174/2 - A 123 S V 4606;
V4355;DIA130/2-A94S;1,26;1,08;5;_;_;DIA 130/2 - A 94 S V 4356;
V4356;DIA130/2-A94S;1,26;1,08;5;_;_;_;
V4606;DIA174/2-A123S;2,15;1,82;5;_;_;DIA 174/2 - A 123 S V 4606;
V4624;DIA74/1–DIA45/1;0,202;0,215;5;_;_;_;
V4625;DIA130/1-DIA90/2;0,73;0,71;5;_;_;_;
V4664;DIA130/2-A94S;1,26;1,08;5;_;_;DIA 130/2 - A 94 S V 4356;
V4739;DIA174/2-A123S;2,15;1,82;5;_;_;DIA174/2-A123S V4606;
V4771;DIA174/2-A123S;2,15;1,82;5;_;_;DIA 174/2 - A 123 S V 4606;
V4774;DIA174/2-A123S;2,15;1,82;5;_;_;DIA 174/2 - A 123 S V 4606;
V4775;DIA226/2-B154;3,18;2,47;5;_;_;DIA226/2-B154 V4317;
VE0996;60R2/96CD;_;_;5;_;_;Keine Zus gefunden;
VE4212;601SFV/113SRD;0,38;_;5;_;_;60RX/104CD: 147827(innen) keine Zus. Gefunden;
VE4213;301SFV/78SRD;_;_;5;_;_;Keine Zus gefunden;
590927;77CTO/113CD;0,58;0,648;5;_;_;_;
474906;80CDE/80CDE;0,455;0,455;5;_;_;HKS 02.5705 (82/1-82/1 - 149313);
475484;DIA124,6-89/1;0,45;0,312;5;_;_;DIA124,6-89/1 443318 + 483541;
475795;45CEK/77CD;0,268;0,419;5;_;_;45CEK/77CD 587622;
428009;50C/48CDD;0,136;0,268;5;_;_;50C/48CDD 421341;
587719;DIA174/2-A123S;2,15;1,82;5;_;_;_;
587718;DIA226/2-B154;3,18;2,47;5;_;_;_;
475302;69EO/119CD;0,52;0,357;5;_;_;_;
476900;30ROK/54CDK;0,135;0,165;5;_;_;_;
466015;30R1/54C;_;_;50/30;0,9;0,74;30R1/54C1 421269;
591651;70ED/120CD;0,626;0,666;5;_;_;70ED/120CD 587980;
474610;DIA18/1-37/1;0,07;0,17;5;_;_;_;
477400;41CI/29C;0,082;0,086;5;_;_;HKS 41 CI/29 CD 02.4917;
590926;127CGT/207CEK;1,839;2,23;5;_;_;_;
438285;62C/42C;0,21;0,338;5;_;_;_;
477168;DIA70/2-125/1;0,663;0,689;5;_;_;_;
476818;42ROK/77CDK;0,341;0,414;5;_;_;42R2/77CD 421166;
476817;60RXK/94CDK;0,645;0,515;5;_;_;60R2/94CD 434734;
476819;24RK/46CK;_;_;100/70;1,04;0,75;_;
476820;17C/34C;_;_;100/70;1,81;0,86;17C/34C 422278;
430339;DIA64/3-DIA105/1;0,676;0,591;5;_;_;70R2/104CD 417295;
608313;174R1/268F;4,3;4,295;5;_;_;174R1/268F 608306;
477698;DIA82/1-DIA82/1;0,416;0,416;5;_;_;DIA82/1-DIA82/1 462170+477698;
147472;41CI/29C;0,082;0,086;5;_;_;HKS 41CI/29C 02.4917;
478147;42ROK/77CDK;0,341;0,414;5;_;_;_;
V4676;DIA174/2-A123S;2,15;1,82;5;_;_;_;
99664;20CI/12A;0,027;0,027;5;_;_;20CI/12A 429916;
575840;8XSP35,7/6-60R;0,646;0,526;5;_;_;_;
54076;8XSP35,7/6-60R;0,646;0,526;5;_;_;_;
70954;8XSP35,7/6-60R;0,646;0,526;5;_;_;8XSP35,7/6-60R 054076;
478408;19R/38C;0,083;0,197;5;_;_;17C/34C 424226;
478407;37R1/62C;0,185;0,185;5;_;_;37R1/62C 442345;
478406;52R2/78C;0,449;0,439;5;_;_;DIA54/2-DIA84/1 430327;
478498;50C/48CDD;0,136;0,268;5;_;_;50C/48CDD 421341;
478289;35CU/68C;0,165;0,201;5;_;_;_;
478526;50C/48CDD;0,136;0,268;5;_;_;50C/48CDD 421341;
478244;45CEK/77CD;0,268;0,419;5;_;_;45CEK/77CD 587622;
276139;88R/133CE;1,186;1,433;5;_;_;88R/133CE 276139;
478874;79RLX/106CD;0,86;0,61;5;_;_;neu;
274686;105R/178CE;1,78;1,9;5;_;_;105R/178CE 272268;
592510;101HY/154E;2,065;1,738;5;_;_;_;
592511;80FY/128E;1,089;1,073;5;_;_;80CGY/128CE 422732 + 80FY/128E 570049;
592538;60R2/94CD;0,65;0,52;5;_;_;60R2/94CD 529284;
466718;82/1-82/1;0,416;0,416;5;_;_;neu;
274685;105R/178CE;1,78;1,9;5;_;_;105R/178CE 272268;
271370;88R4/133CE;1,295;1,43;5;_;_;_;
582232;70ED/120CD;0,626;0,675;5;_;_;70ED/120CD 587980;stu
142063;DIA19/1-38C;0,057;0,099;5;_;_;DIA19/1-38C 110307;
278503;92C/62CF;0,78;0,503;5;_;_;DIA92/1-DIA56/2 098628;
479515;154CD-95/2;0,738;0,725;5;_;_;154CD-95/2 143071 + 479515;
479060;52R2/78CD;0,445;0,439;5;_;_;_;
479577;52R2/78CD;0,445;0,439;5;_;_;52R2/78CD 479060;
270654;88R4/133CE;1,295;1,43;5;_;_;_;
475522;DIA73/3-121/2;0,975;1,005;5;_;_;neu;
479702;60R2/94CD;0,645;0,518;5;_;_;_;
276126;174R/274CF;4,3;3,79;5;_;_;_;
480036;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
478248;39/2-74CD;0,278;0,39;5;_;_;_;
272295;88R4/133CE;1,3;1,43;5;_;_;_;
480160;37RLX/65D;0,185;0,193;5;_;_;37RLX/65D 427687;
480158;80FY/128E;1,079;1,065;5;_;_;80CGY/128CE 422732 + 80FY/128E 570049;
480157;101HY/154E;2,065;1,678;5;_;_;101HY/154E 570048;
480159;52RLX/92D;0,353;0,501;5;_;_;52RLX/92CD 427686;
475241;50CI/48CDD;0,22;0,268;5;_;_;50C/48CDD: 421341 / 50CI/24C: 468505;
142762;82/1-82/1;0,416;0,416;5;_;_;HKS 02.5705 und 82/1-82/1 142762;stu
270466;134R/207CE;2,37;2,23;5;_;_;134R1/207CE 570785;
277492;88R4/133CE;1,3;1,433;5;_;_;88R4/133CE 272295;
279441;134R/207CE;2,379;2,233;5;_;_;134R1/207CE 570785;
478756;82/1-82/1;0,416;0,416;5;_;_;HKS 02.5705 und 82/1-82/1 149313;
480659;DIA18/1-37/1;0,07;0,17;5;_;_;DIA18/1-37/1 474610;
480691;80CDE/80CDE;0,423;0,423;5;_;_;HKS 02.5705 (82/1-82/1 - 149313);stu
482194;207CE/134R;2,38;1,615;5;_;_;HKS 02.2886 und 207CE/134R - 482194;stu
480670;30R1/54C;0,13;0,156;5;_;_;_;stu
480968;DIA17,5/1-34/1;0,049;0,098;5;_;_;17C/34C 424226;stu
550184;174RX/274F;4,3;3,8;5;_;_;174 RX/274 F 544040;stu
278961;30RK/54CK;0,134;0,171;5;_;_;_;stu
278952;105R/178CE;1,787;1,9;5;_;_;neu;stu
278958;52R/85CDK;0,455;0,471;5;_;_;_;stu
427610;50C/48CDD;0,136;0,268;5;_;_;50C/48CDD 421341;stu
593685;52R2/86CD;0,445;0,47;5;_;_;_;stu
477299;41CI/29C;0,079;0,079;5;_;_;HKS 02.4917;stu
276387;88R/133CE;1,292;1,43;5;_;_;88R/133CE 276139;stu
129919;82/1-82/1;0,419;0,419;5;_;_;HKS 02.5705 und 82/1-82/1 149313;stu
479179;58CDE/58CDE;0,283;0,283;5;_;_;DIA56/1-DIA56/1 460956.;stu
482508;117R1/168CE;2;1,43;5;_;_;117R1/168CE 516911;stu
482784;24R/46C;0,114;0,13;5;_;_;DIA29/1-DIA49/1 465133;stu
482851;37R1/62C;0,185;0,185;5;_;_;_;stu
482878;52R2/96CD;0,448;0,546;5;_;_;52R2/96CD 442344;stu
135564;DIA82/82;0,419;0,419;5;_;_;HKS 02.5705 und 82/1-82/1 142762;stu
482582;45CEK/77CD;0,268;0,419;5;_;_;45CEK/77CD 587622;stu
482829;85CDP/75CDP;0,378;0,447;5;_;_;85CDP/75CDP 470332;stu
470332;85CDP/75CDP;0,378;0,447;5;_;_;_;stu
594047;70ED/120CD;0,626;0,663;5;_;_;_;stu
97267;41CD10/41CD10;0,184;0,184;5;_;_;_;stu
484661;87GY/164SRE;1,476;1,02;5;_;_;87GY/164SRE 432453;
277612;42R/68CD;0,341;0,378;5;_;_;_;stu
270467;70R2/96CD;0,836;0,543;5;_;_;_;stu
84476;88R4/133CE;1,298;1,428;5;_;_;neu;stu
269437;42R/68CD;0,341;0,37;5;_;_;42R/68CD 277612;stu
483642;82C/70ED;0,633;0,493;5;_;_;82C/70ED 424570;stu
137153;3XDIA211-160/3;2,011;1,378;5;_;_;_;stu
260476;60R/94CD;0,649;0,527;5;_;_;_;
594293;42RK/68CD;0,341;0,37;5;_;_;_;
594294;30RK/54CD;0,129;0,165;5;_;_;_;
279615;52R/78CD;0,447;0,451;5;_;_;_;
279817;96CD/60RLX;0,598;0,545;5;_;_;96CD/60RLX 279500;
279818;96CD/60RLX;0,598;0,545;5;_;_;neu;
276902;105R/164CE;1,79;1,804;5;_;_;_;
425279;52R2/78CD;0,445;0,439;5;_;_;_;
484674;52RLO/92D;0,353;0,504;5;_;_;52RLX/92D 427686;
484675;37RLO/65D;0,278;0,193;5;_;_;37RLX/65D 427687;
269649;19R/38C;0,052;0,109;5;_;_;neu;
275142;19R/38C;0,052;0,109;5;_;_;19R/38C 269649;
484791;50CI/48CDD;0,136;0,118;5;_;_;50CI/24C 468505 + 50C/48CDD 421341;
274849;52R/78CD;0,447;0,451;5;_;_;_;
274850;30R/54C;0,138;0,166;5;_;_;_;
594733;42RK/68CD;0,341;0,37;5;_;_;neu;
484837;42RK/68CD;0,341;0,37;5;_;_;neu;
594734;30RK/54CD;0,129;0,165;5;_;_;neu;
484916;30RK/54CD;0,129;0,165;5;_;_;neu;
484983;50C/48CDD;0,136;0,268;5;_;_;50C/48CDD 421341;
484454;82C/70ED;0,617;0,487;5;_;_;82C/70ED 424570;
485399;30ROK/54CDK;0,127;0,158;5;_;_;_;
270286;70R/96CD;0,836;0,548;5;_;_;_;
99000;39GN2/74ER1G;_;HD;30/20;_;0,12;aussen: HD 39GN2/74ER1G 090665;
147071;82/1-82/1;0,416;0,416;5;_;_;HKS 02.5705 und 82/1-82/1 149313;
485609;82CIK/48CDDK;0,138;0,212;5;_;_;82C/70ED 424570;
485621;50CK/48CDDK;0,138;0,268;5;_;_;50C/48CDD 421341;
141149;DIA82/1-82/1;0,416;0,416;5;_;_;_;
419109;82C/70ED;0,625;0,493;5;_;_;82 C/70 ED 424570;
594736;88CRXK/133CEK;1,184;1,113;5;_;_;_;
270503;117R/164CE;1,999;1,804;5;_;_;_;
484258;DIA44/1–DIA44/1;0,217;0,217;5;_;_;DIA44/1–DIA44/1 419220;
484259;DIA44/1–DIA44/1;0,217;0,217;5;_;_;DIA44/1–DIA44/1 419220;
483541;DIA125/1-89/1;0,442;-0,303;5;_;_;_;
272187;88R4/133CE;1,295;1,43;5;_;_;88R4/133CE 271370;
272867;18VP/34VP;0,05;0,098;5;_;_;neu;
448665;50CI/48CDD;0,136;0,118;5;_;_;50CI/48CDD 489974;
486910;70ED/120CD;0,624;0,67;5;_;_;70ED/120CD 431697;
274712;174R2/274CF;4,3;3,79;5;_;_;174R/274CF 276126;
123124;200CD/105R1;1,792;1,089;5;_;_;Nur Innenprüfung möglich;
486463;30R1/54C;0,136;0,165;5;_;_;30R1/54C 480670;
487128;101HY/179SRE;2,068;1,599;5;_;_;_;
496823;98CROK/145CEK;1,328;1,573;5;_;_;98CROK/145CE 446666 + 98CROK/145CEK 487092;
487111;24RK/46CK;_;_;100/70;1,04;0,75;24RK/46CK 476819;
487092;98CROK/145CEK;1,328;1,573;5;_;_;98CROK/145CE 446666 + 98CROK/145CEK 487092;
487105;82CI/48CDD;0,138;0,212;5;_;_;82C/70ED 424570;
487153;42ROK/77CDK;0,341;0,414;5;_;_;42R2/77CD 421166;
487112;17C/34C;_;_;100/70;1,81;0,86;17C/34C 422278;
272947;88R4/133CE;1,291;1,43;5;_;_;88R4/133CE 270654;
487296;30R1/54C;_;_;50/30;0,9;0,74;30R1/54C1 421269;
487325;50C/48CDD;0,136;0,268;5;_;_;50C/48CDD 421341;
487309;50CI/48CDD;0,136;0,118;5;_;_;50C/48CDD 421341 + 50CI/24C 468505;
487299;82CI/48CDD;0,138;0,212;5;_;_;82C/70ED 424570;
88071;41CD10/41CD10;0,184;0,184;5;_;_;_;
453486;82C/70ED;0,617;0,487;5;_;_;neu;
595864;60ROK/94CD;0,647;0,515;5;_;_;60ROK/94CD 584385;
272165;DIA49/1-35/1;0,101;_;5;_;_;37R1/62C: 416912 nur Innenprüfung möglich;
488275;DIA17,5/1-34/1;0,053;0,098;5;_;_;17C/34C 424226;
488243;DIA42/1-64/1;0,215;0,188;5;_;_;42R2/68CD 540576;
274851;17C/34C;_;_;100/70;1,81;0,86;_;
72801;105CD/65CED;0,558;0,571;5;_;_;_;
488411;101CJY/179SRE;2,152;1,237;5;_;_;101HY/179SRE 487128;
488412;101CJY/179SRE;2,152;1,237;5;_;_;neu;
527377;154CE/88R1;1,186;1,685;5;_;_;154CE/88R4 540202;
366816;30R/54C;0,138;0,166;5;_;_;30R1/54C 088921;
488836;DIA54/3-91/1;0,471;0,505;5;_;_;_;
596279;70ED/120CD;0,626;0,663;5;_;_;70ED/120CD 587980;
489028;145R/200CE;3,06;2,22;5;_;_;145R1/200CE 516910;
580812;69EO/119CD;0,52;0,357;5;_;_;70ED/120CD 587980;
469518;88R4/133CE;1,3;1,433;5;_;_;neu;
487022;DIA94/1-68/1;0,309;_;5;_;_;Nur Innenpr.: 68CDK/52CEK 468147;
27184;46,5/1-35/1;_;_;100/70;1,04;0,56;_;
133289;94/1-70/1;0,332;0,488;5;_;_;neu;
550180;98RX/145E;1,322;1,574;5;_;_;98RX/145E 548893;
421832;DIA128-DIA97;0,297;0,27;5;_;_;neu;
489974;50CI/48CDD;_;_;100/70;0,6;0,7;_;
489975;50CI/48CDD;_;_;50/30;0,9;1;_;
489268;15A/13A;_;_;100/70;2,95 (13A);2,39 (15A);_;
490792;50CI/48CDD;_;_;50/30;0,9;1;50CI/48CDD 489974;
469520;60R2/86CD;0,643;0,487;5;_;_;neu;
469522;30R1/54C;_;_;50/30;0,9;0,74;neu;
469524;17C/34C;_;_;100/70;1,84;0,86;neu;
152137;56/1-56/1;_;_;100/70;0,7 (Saug);0,52 (Druck);_;
147070;82/1-82/1;_;_;100/70;2,05;2,05;82/1-82/1 147070 + 82/1-82/1 149313;
597418;70ED/120CD;_;_;100/70;1,2;1,2;_ (10dm3);
430333;DIA17,5/1-34/1;_;_;100/70;1,65;0,83;17C/34C 424226;
491331;101CJY/179SRE;1;0,6;5;_;_;101HY/179SRE 487128 (SONDERWERTE!);
470580;DIA29/1-62/1;0,128;0,184;5;_;_;_;
